
Input 500 numbers
push[0] : 164
push[1] : 993
push[2] : 459
push[3] : 121
push[4] : 323
push[5] : 448
push[6] : 342
push[7] : 367
push[8] : 55
push[9] : 851
push[10] : 817
push[11] : 313
push[12] : 574
push[13] : 130
push[14] : 685
push[15] : 420
push[16] : 628
push[17] : 875
push[18] : 57
push[19] : 706
push[20] : 462
push[21] : 463
push[22] : 864
push[23] : 446
push[24] : 667
push[25] : 951
push[26] : 633
push[27] : 94
push[28] : 973
push[29] : 813
push[30] : 54
push[31] : 907
push[32] : 778
push[33] : 496
push[34] : 423
push[35] : 756
push[36] : 852
push[37] : 543
push[38] : 850
push[39] : 727
push[40] : 639
push[41] : 417
push[42] : 799
push[43] : 801
push[44] : 223
push[45] : 784
push[46] : 402
push[47] : 844
push[48] : 761
push[49] : 82
push[50] : 804
push[51] : 73
push[52] : 997
push[53] : 209
push[54] : 451
push[55] : 932
push[56] : 24
push[57] : 901
push[58] : 123
push[59] : 750
push[60] : 886
push[61] : 450
push[62] : 693
push[63] : 226
push[64] : 58
push[65] : 467
push[66] : 610
push[67] : 460
push[68] : 42
push[69] : 387
push[70] : 262
push[71] : 129
push[72] : 711
push[73] : 564
push[74] : 399
push[75] : 654
push[76] : 205
push[77] : 391
push[78] : 842
push[79] : 22
push[80] : 552
push[81] : 117
push[82] : 437
push[83] : 361
push[84] : 790
push[85] : 791
push[86] : 81
push[87] : 197
push[88] : 326
push[89] : 950
push[90] : 605
push[91] : 189
push[92] : 828
push[93] : 396
push[94] : 501
push[95] : 193
push[96] : 588
push[97] : 811
push[98] : 325
push[99] : 948
push[100] : 612
push[101] : 275
push[102] : 576
push[103] : 203
push[104] : 665
push[105] : 476
push[106] : 521
push[107] : 102
push[108] : 210
push[109] : 71
push[110] : 773
push[111] : 260
push[112] : 935
push[113] : 740
push[114] : 592
push[115] : 113
push[116] : 65
push[117] : 908
push[118] : 455
push[119] : 513
push[120] : 330
push[121] : 531
push[122] : 166
push[123] : 837
push[124] : 471
push[125] : 217
push[126] : 838
push[127] : 550
push[128] : 229
push[129] : 14
push[130] : 167
push[131] : 363
push[132] : 762
push[133] : 586
push[134] : 641
push[135] : 741
push[136] : 527
push[137] : 301
push[138] : 846
push[139] : 700
push[140] : 929
push[141] : 961
push[142] : 925
push[143] : 823
push[144] : 694
push[145] : 137
push[146] : 233
push[147] : 984
push[148] : 17
push[149] : 201
push[150] : 878
push[151] : 719
push[152] : 835
push[153] : 389
push[154] : 923
push[155] : 285
push[156] : 978
push[157] : 474
push[158] : 319
push[159] : 282
push[160] : 286
push[161] : 894
push[162] : 985
push[163] : 893
push[164] : 915
push[165] : 808
